achainím	achainigh
achoimrím	achoimrigh
achtaím	achtaigh
aclaím	aclaigh
adhlacaim	adhlaic
adhmholaim	adhmhol
adhnaim	adhain
adhnann	adhain
admhaím	admhaigh
aeraím	aeraigh
aerthriomaím	aerthriomaigh
aerálaim	aeráil
agraím	agair
aibhsím	aibhsigh
ailsím	ailsigh
ailtéarnaíonn	ailtéarnaigh
aimplím	aimpligh
aimridím	aimridigh
aimsím	aimsigh
ainlím	ainligh
ainmním	ainmnigh
ainéalaim	ainéal
airgeadaím	airgeadaigh
airím	airigh
aisghairim	aisghair
aisiompaíonn	aisiompaigh
aislingím	aisling
aistrím	aistrigh
aisíocaim	aisíoc
aitheascaim	aitheasc
aithním	aithin
aithrisím	aithris
allasaím	allasaigh
alpaim	alp
anailísím	anailísigh
análaím	análaigh
aoirím	aoirigh
aonraím	aonraigh
aontaím	aontaigh
aoraim	aor
ardaím	ardaigh
armálaim	armáil
armónaím	armónaigh
asbheirim	asbheir
astaím	astaigh
ataispeánaim	ataispeáin
atarraingím	atarraing
ateilgim	ateilg
athachtaím	athachtaigh
athaimsím	athaimsigh
atharmálaim	atharmáil
athbhreithním	athbhreithnigh
athbhunaím	athbhunaigh
athchasaim	athchas
athcheanglaím	athcheangail
athcheannaím	athcheannaigh
athcheapaim	athcheap
athcheartaím	athcheartaigh
athcheistím	athcheistigh
athchlúdaím	athchlúdaigh
athchorpraím	athchorpraigh
athchruinním	athchruinnigh
athchruthaím	athchruthaigh
athchuirim	athchuir
athchumaim	athchum
athchóipeálaim	athchóipeáil
athchóirím	athchóirigh
athdhathaím	athdhathaigh
athdhearbhaím	athdhearbhaigh
athdheisím	athdheisigh
athdhéanaim	athdhéan
athdhíolaim	athdhíol
atheagraím	atheagraigh
athfheistím	athfheistigh
athfhillim	athfhill
athfhoilsím	athfhoilsigh
athfhostaím	athfhostaigh
athghabhaim	athghabh
athghairim	athghair
athghléasaim	athghléas
athghoraim	athghor
athghreamaím	athghreamaigh
athimrím	athimir
athiompaíonn	athiompaigh
athlasaim	athlas
athlasann	athlas
athleagaim	athleag
athleasaím	athleasaigh
athleáim	athleáigh
athliostálaim	athliostáil
athluchtaím	athluchtaigh
athléim	athléigh
athléirím	athléirigh
athlíneálaim	athlíneáil
athlíonaim	athlíon
athnascaim	athnasc
athnuaim	athnuaigh
athosclaím	athoscail
athphlandálaim	athphlandáil
athphósaim	athphós
athraím	athraigh
athriaraim	athriar
athroinnim	athroinn
athscríobhaim	athscríobh
athscrúdaím	athscrúdaigh
athsheolaim	athsheol
athshlánaím	athshlánaigh
athshocraím	athshocraigh
athshuaithim	athshuaith
athshúim	athshúigh
atoghaim	atogh
atosaím	atosaigh
atriailim	atriail
atáirgim	atáirg
atáthaíonn	atáthaigh
atíolacaim	atíolaic
atógaim	atóg
babhlálaim	babhláil
babhtálaim	babhtáil
bacaim	bac
baghcatálaim	baghcatáil
bagraím	bagair
baineann	bain
bainim	bain
baistim	baist
ballastaím	ballastaigh
ballbhascaim	ballbhasc
balsamaím	balsamaigh
bannaím	bannaigh
baoiteálaim	baoiteáil
batrálaim	batráil
bealaím	bealaigh
beannaím	beannaigh
bearnaím	bearnaigh
bearraim	bearr
beartaím	beartaigh
beathaím	beathaigh
beibhealaim	beibheal
beireann	beir
beirim	beir
beoghearraim	beoghearr
bioraím	bioraigh
bisím	bisigh
bisíonn	bisigh
blaisim	blais
blaistím	blaistigh
bloscann	blosc
bláthaíonn	bláthaigh
bocálaim	bocáil
bodhraím	bodhraigh
bogaigéadaím	bogaigéadaigh
bogaim	bog
bogann	bog
bolgaim	bolg
bolgann	bolg
boltálaim	boltáil
bordálaim	bordáil
borrann	borr
braichim	braich
braitheann	braith
braithim	braith
brandálaim	brandáil
breabaim	breab
breacaim	breac
breacaim.	breac
breathnaím	breathnaigh
briseann	bris
brisim	bris
broicéadaím	broicéadaigh
broidearnaíonn	broidearnaigh
bronnaim	bronn
brostaím	brostaigh
bruitheann	bruith
bruithim	bruith
bruithním	bruithnigh
bréadaím	bréadaigh
bréagaim	bréag
bréagnaím	bréagnaigh
bróidním	bróidnigh
brúchtaim	brúcht
brúidím	brúidigh
brúim	brúigh
brúnn	brúigh
buaileann	buail
buailim	buail
buaim	buaigh
buairim	buair
buamálaim	buamáil
buanaím	buanaigh
buidéalaím	buidéalaigh
bunaím	bunaigh
burlálaim	burláil
bácálaim	bácáil
báim	báigh
bánaím	bánaigh
bánaíonn	bánaigh
béicim	béic
búclálaim	búcláil
cabálaim	cabáil
caighdeánaím	caighdeánaigh
cailcím	cailcigh
cailcíním	cailcínigh
caillim	caill
caintím	caintigh
caipitlím	caipitligh
cairtfhostaím	cairtfhostaigh
caitheann	caith
caithim	caith
caiticeasmaím	caiticeasmaigh
calabraím	calabraigh
calcaim	calc
camaim	cam
canaim	can
canann	can
caochaim	caoch
caochann	caoch
caoinim	caoin
caolaím	caolaigh
caomhnaím	caomhnaigh
caradaím	caradaigh
carbraím	carbraigh
carbólaím	carbólaigh
carbónaím	carbónaigh
cardálaim	cardáil
carnaim	carn
carnann	carn
cartaim	cart
cartann	cart
casaim	cas
casann	cas
casmhúnlaím	casmhúnlaigh
ceadaím	ceadaigh
ceadaím.	ceadaigh
ceadúnaím	ceadúnaigh
cealaím	cealaigh
cealgaim	cealg
ceanglaím	ceangail
ceannaím	ceannaigh
ceansaím	ceansaigh
ceantálaim	ceantáil
ceapaim	ceap
cearnaím	cearnaigh
ceartaím	ceartaigh
ceilim	ceil
ceiliúraim	ceiliúir
ceiliúrann	ceiliúir
ceistím	ceistigh
ciallaím	ciallaigh
ciallaíonn	ciallaigh
ciapaim	ciap
ciceálann	ciceáil
ciglím	cigil
cinneann	cinn
cinnirim	cinnir
ciontaím	ciontaigh
ciorclaím	ciorclaigh
ciorraím	ciorraigh
cisim	cis
ciúbaím	ciúbaigh
ciúnaím	ciúnaigh
ciúnaíonn	ciúnaigh
clampaím	clampaigh
claochlaím	claochlaigh
claochlaíonn	claochlaigh
claonaim	claon
claonann	claon
cleachtaim	cleacht
cleitím	cleitigh
clingeann	cling
clingim	cling
clisim	clis
clogann	clog
cláraím	cláraigh
clóim	clóigh
clóiríním	clóirínigh
clóscríobhaim	clóscríobh
clúdaím	clúdaigh
cnagaim	cnag
cnagann	cnag
cnagbhruithim	cnagbhruith
cneadaim	cnead
cneasaím	cneasaigh
cneasaíonn	cneasaigh
cniotálaim	cniotáil
cnuasaím	cnuasaigh
cnuasaíonn	cnuasaigh
cnámhaíonn	cnámhaigh
cobhsaím	cobhsaigh
cocaim	coc
codlaím	codail
cognaím	cogain
coigeartaím	coigeartaigh
coiglím	coigil
coillim	coill
coilíním	coilínigh
coimeádaim	coimeád
coinbhéartaím	coinbhéartaigh
coinbhéirsím	coinbhéirsigh
coincheapaim	coincheap
coincréitím	coincréitigh
coinnealbháim	coinnealbháigh
coinním	coinnigh
coinscríobhaim	coinscríobh
coipeann	coip
coirbéalaim	coirbéal
coirním	coirnigh
coiscim	coisc
coisricim	coisric
comhairlím	comhairligh
comhaontaím	comhaontaigh
comhardaím	comhardaigh
comhbhailíonn	comhbhailigh
comhbheartaím	comhbheartaigh
comhcheanglaím	comhcheangail
comhcheanglaíonn	comhcheangail
comhchruinním	comhchruinnigh
comhdhearbhaím	comhdhearbhaigh
comhdhlúthaím	comhdhlúthaigh
comhdhlúthaíonn	comhdhlúthaigh
comhfhadaím	comhfhadaigh
comhfhreagraím	comhfhreagair
comhfháiscim	comhfháisc
comhlíonaim	comhlíon
comhoibrím	comhoibrigh
comhraiceann	comhraic
comhrialaím	comhrialaigh
comhréitím	comhréitigh
comhshamhlaím	comhshamhlaigh
comhshamhlaíonn	comhshamhlaigh
comhshíním	comhshínigh
comhshóim	comhshóigh
comhthoghaim	comhthogh
comhtháthaím	comhtháthaigh
comhéigním	comhéignigh
conclúidím	conclúidigh
conspóidim	conspóid
corann	cor
cornaim	corn
corpraím	corpraigh
corraím	corraigh
corraíonn	corraigh
corónaím	corónaigh
coscraím	coscair
coscraíonn	coscair
cosnaím	cosain
cosnaíonn	cosain
costálaim	costáil
cothaím	cothaigh
cothromaím	cothromaigh
crampálaim	crampáil
craobhaím	craobhaigh
craobhaíonn	craobhaigh
craolaim	craol
craolann	craol
crapaim	crap
crapann	crap
craplaím	craplaigh
creachaim	creach
creathnaím	creathnaigh
creidim	creid
creimeann	creim
creimim	creim
criathraím	criathraigh
crioslaím	crioslaigh
criostalaím	criostalaigh
criostalaíonn	criostalaigh
crithim	crith
crochaim	croch
crochann	croch
croitheann	croith
croithim	croith
cromaim	crom
cromann	crom
crosaim	cros
croscheistím	croscheistigh
crosphóraím	crosphóraigh
crosphóraíonn	crosphóraigh
cruanaim	cruan
cruashádrálaim	cruashádráil
cruinním	cruinnigh
cruinníonn	cruinnigh
cruthaím	cruthaigh
cráim	cráigh
cré-umhaím	cré-umhaigh
créamaim	créam
críochnaím	críochnaigh
críochnaíonn	críochnaigh
cróiseálaim	cróiseáil
crónaím	crónaigh
cuaillím	cuailligh
cuaraim	cuar
cuardaím	cuardaigh
cuibhrím	cuibhrigh
cuileálaim	cuileáil
cuilteálaim	cuilteáil
cuimhním	cuimhnigh
cuimlím	cuimil
cuimlíonn	cuimil
cuireann	cuir
cuirim	cuir
cuislím	cuisligh
cuisním	cuisnigh
cumaim	cum
cumhachtaím	cumhachtaigh
cumhdaím	cumhdaigh
cumhdaím.	cumhdaigh
cumhraím	cumhraigh
cuíchóirím	cuíchóirigh
cáblaím	cáblaigh
cáilíonn	cáiligh
cáinim	cáin
cáithim	cáith
cásaím	cásaigh
céadfaím	céadfaigh
céasaim	céas
céaslaím	céaslaigh
céimním	céimnigh
cíoraim	cíor
cócarálaim	cócaráil
cócarálann	cócaráil
cóimeálaim	cóimeáil
cóimheasaim	cóimheas
cóipeálaim	cóipeáil
cóirím	cóirigh
