Nm_na_NmGenW	Aifreann na marbh	Aifreann,na,marbh
Nm_Nf	Aifreann éagnairce	Aifreann,éagnairc
NPm_VA	Alasca bácáilte	Alasca,bácáilte
NPm_AB	Albain Nua	Albain,nua
An_NPfDefArt	An Abcáis	an,Abcáis
An_NPfDefArt	An Aetóip	an,Aetóip
An_NPfDefArt	An Afganastáin	an,Afganastáin
An_NPfDefArt	An Afraic	an,Afraic
An_NPfDefArt	An Aibisín	an,Aibisín
An_NPfDefArt	An Aigéine	an,Aigéine
An_NPfDefArt	An Ailgéir	an,Ailgéir
An_NPf	An Airgintín	an,Airgintín
An_NPm	An Airméin	an,Airméin
An_NPf	An Aisiria	an,Aisiria
An_NPm	An Aithin	an,Aithin
An_NPf	An Albáin	an,Albáin
An_NPm	An Alsáis	an,Alsáis
An_NPf	An Amasóin	an,Amasóin
An_NPf	An Antartaice	an,Antartaice
An_NPf	An Araib	an,Araib
An_NPf_A	An Araib Shádach	an,Araib,Shádach
An_NPf	An Asarbaiseáin	an,Asarbaiseáin
An_NPm	An Astracáin	an,Astracáin
An_NPm	An Astraláise	an,Astraláise
An_NPf	An Astráil	an,Astráil
An_NPfDefArt	An Bhablóin	an,Bablóin
An_NPfDefArt	An Bhablóinia	an,Bablóinia
An_NPfDefArt	An Bhalúcastáin	an,Balúcastáin
An_NPfDefArt	An Bhanglaidéis	an,Banglaidéis
An_NPfDefArt	An Bharbair	an,Barbair
An_NPfDefArt	An Bhasútlainn	an,Basútlainn
An_NPfDefArt	An Bhaváir	an,Baváir
An_NPfDefArt	An Bheachuanlainn	an,Beachuanlainn
An_NPfDefArt	An Bhealarúis	an,Bealarúis
An_NPfDefArt	An Bheilg	an,Beilg
An_NPfDefArt	An Bheilís	an,Beilís
An_NPfDefArt	An Bheithil	an,Beithil
An_NPfDefArt	An Bhiosáint	an,Biosáint
An_NPfDefArt	An Bhitín	an,Bitín
An_NPfDefArt	An Bhoihéim	an,Boihéim
An_NPfDefArt	An Bhoisnia-Heirseagaivéin	an,Boisnia-Heirseagaivéin
An_NPfDefArt	An Bhoisnia	an,Boisnia
An_NPfDefArt	An Bholaiv	an,Bolaiv
An_NPfDefArt	An Bhotsuáin	an,Botsuáin
An_NPfDefArt	An Bhrasaíl	an,Brasaíl
An_NPfDefArt	An Bhratasláiv	an,Bratasláiv
An_NPfDefArt	An Bhreatain	an,Breatain
An_NPfDef_A	An Bhreatain Bheag	an,Breatain,beag
An_NPfDef_A	An Bhreatain Mhór	an,Breatain,mór
An_NPfDefArt	An Bhriotáin	an,Briotáin
An_NPfDefArt	An Bhruiséil	an,Bruiséil
An_NPfDefArt	An Bhulgáir	an,Bulgáir
An_NPfDefArt	An Bhurgúin	an,Burgúin
An_NPfDefArt	An Bhurúin	an,Burúin
An_NPfDefArt	An Bhéóitia	an,Béóitia
An_NPfDefArt	An Bhútáin	an,Bútáin
An_NPm	An Cabhán	an,Cabhán
An_NPfDefArt	An Chairéil	an,Cairéil
An_NPfDefArt	An Chaismír	an,Caismír
An_NPfDefArt	An Chaistíl	an,Caistíl
An_NPfDefArt	An Chambóid	an,Cambóid
An_NPfDefArt	An Champúis	an,Campúis
An_NPfDefArt	An Chapadóic	an,Capadóic
An_NPfDefArt	An Chartaig	an,Cartaig
An_NPfDefArt	An Chasacstáin	an,Casacstáin
An_NPfDefArt	An Chatalóin	an,Catalóin
An_NPfDefArt	An Cheilibéis	an,Ceilibéis
An_NPfDefArt	An Chipir	an,Cipir
An_NPfDefArt	An Chirgeastáin	an,Cirgeastáin
An_NPfDefArt	An Cholóim	an,Colóim
An_NPfDefArt	An Choraint	an,Coraint
An_NPfDefArt	An Chordastáin	an,Cordastáin
