Nm_na_NmGenW	Aifreann na marbh	Aifreann,na,marbh
Nm_Nf	Aifreann éagnairce	Aifreann,éagnairc
Nm_A	fear dubh	fear,dubh
NPm_na_NPf	Cathair na hAilgéire	Cathair,na,Ailgéir
NPm_na_NPf	Cuan na hAraibe	Cuan,na,Araib
Nm_A	Diarmaidín riabhach	Diarmaidín,riabhach
Nm_Nf	Domhnach Cincíse	Domhnach,Cincís
Nm_Nf	Domhnach Cásca	Domhnach,Cáisc
Nm_na_Nf	Domhnach na Tríonóide	Domhnach,na,Tríonóid
Nm_Nf	Luan Cincíse	Luan,Cincís
Nm_Nf	Luan Cásca	Luan,Cáisc
Nm_A	Meiriceánach Laidineach	Meiriceánach,Laidineach
Adv:Pr_NmE	i mbríste	i,bríste
Nf_A	Móróg chaoch	Móróg,caoch
Nf_AB	Siobháinín bhuí	Siobháinín,buí
Adv:Pr_NmL	de chogar	de,cogar
Nm_Nm	abhras cadáis	abhras,cadás
Nf_A	achainí chiorclach	achainí,ciorclach
Nm_Nm	adhmad castáin	adhmad,castán
Nm_Nf	adhmad darach	adhmad,dair
Nm_Nf	adhmad giúise	adhmad,giúis
Nm_VA	adhmad leagtha	adhmad,leagtha
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_Nm	le sruth	le,sruth
Adv:Pr_NmE	i gcrann	i,crann
Adv:Pr_NmL	le chéile	le,céile
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Nf_A	aghaidh dhúnárasach	aghaidh,dúnárasach
Nf_A	aicíd dhubh	aicíd,dubh
Nf_AB	aicíd ghasta	aicíd,gasta
Nm_A	aigéad ascorbach	aigéad,ascorbach
Nm_A	aigéad citreach	aigéad,citreach
Nm_A	aigéad hidreaclórach	aigéad,hidreaclórach
Nm_A	aigéad lachtach	aigéad,lachtach
Nm_A	aigéad sailleach	aigéad,sailleach
Nm_A	aigéad úrach	aigéad,úrach
Nf_A	aimsir cholgach	aimsir,colgach
Nf_AB	aimsir fhoirfe	aimsir,foirfe
Nf_A	aimsir mhór	aimsir,mór
Nm_Nf	aingeal coimhdeachta	aingeal,coimhdeacht
Nm_VA	ainm baiste	ainm,baiste
Nm_Nm	ainm ceana	ainm,cion
Nm_Nm	ainm comhaid	ainm,comhad
Nm_A	ainm dílis	ainm,dílis
