achainím	achainigh
achoimrím	achoimrigh
achtaím	achtaigh
aclaím	aclaigh
adhlacaim	adhlaic
adhmholaim	adhmhol
admhaím	admhaigh
aeraím	aeraigh
aerthriomaím	aerthriomaigh
aerálaim	aeráil
agraím	agair
aibhsím	aibhsigh
ailsím	ailsigh
aimplím	aimpligh
aimridím	aimridigh
aimsím	aimsigh
ainlím	ainligh
ainmním	ainmnigh
ainéalaim	ainéal
airgeadaím	airgeadaigh
airím	airigh
aisghairim	aisghair
aislingím	aisling
aistrím	aistrigh
aisíocaim	aisíoc
aitheascaim	aitheasc
aithním	aithin
aithrisím	aithris
allasaím	allasaigh
alpaim	alp
anailísím	anailísigh
análaím	análaigh
aoirím	aoirigh
aonraím	aonraigh
aontaím	aontaigh
aoraim	aor
ardaím	ardaigh
armálaim	armáil
armónaím	armónaigh
asbheirim	asbheir
astaím	astaigh
ataispeánaim	ataispeáin
atarraingím	atarraing
ateilgim	ateilg
athachtaím	athachtaigh
athaimsím	athaimsigh
atharmálaim	atharmáil
athbhreithním	athbhreithnigh
athbhunaím	athbhunaigh
athchasaim	athchas
athcheanglaím	athcheangail
athcheannaím	athcheannaigh
athcheapaim	athcheap
athcheartaím	athcheartaigh
athcheistím	athcheistigh
athchlúdaím	athchlúdaigh
athchorpraím	athchorpraigh
athchruinním	athchruinnigh
athchruthaím	athchruthaigh
athchuirim	athchuir
athchumaim	athchum
athchóipeálaim	athchóipeáil
athchóirím	athchóirigh
athdhathaím	athdhathaigh
athdhearbhaím	athdhearbhaigh
athdheisím	athdheisigh
athdhéanaim	athdhéan
athdhíolaim	athdhíol
atheagraím	atheagraigh
athfheistím	athfheistigh
athfhillim	athfhill
athfhoilsím	athfhoilsigh
athfhostaím	athfhostaigh
athghabhaim	athghabh
athghairim	athghair
athghléasaim	athghléas
athghoraim	athghor
athghreamaím	athghreamaigh
athimrím	athimir
athlasaim	athlas
athleagaim	athleag
athleasaím	athleasaigh
athleáim	athleáigh
athliostálaim	athliostáil
athluchtaím	athluchtaigh
athléim	athléigh
athléirím	athléirigh
athlíneálaim	athlíneáil
athlíonaim	athlíon
athnascaim	athnasc
athnuaim	athnuaigh
athosclaím	athoscail
athphlandálaim	athphlandáil
athphósaim	athphós
athraím	athraigh
athriaraim	athriar
athroinnim	athroinn
athscríobhaim	athscríobh
athscrúdaím	athscrúdaigh
athsheolaim	athsheol
athshlánaím	athshlánaigh
athshocraím	athshocraigh
athshuaithim	athshuaith
athshúim	athshúigh
atoghaim	atogh
atosaím	atosaigh
atriailim	atriail
atáirgim	atáirg
atíolacaim	atíolaic
atógaim	atóg
babhlálaim	babhláil
babhtálaim	babhtáil
bacaim	bac
baghcatálaim	baghcatáil
bagraím	bagair
bainim	bain
baistim	baist
ballastaím	ballastaigh
ballbhascaim	ballbhasc
balsamaím	balsamaigh
bannaím	bannaigh
baoiteálaim	baoiteáil
batrálaim	batráil
bealaím	bealaigh
beannaím	beannaigh
bearnaím	bearnaigh
bearraim	bearr
beartaím	beartaigh
beathaím	beathaigh
beibhealaim	beibheal
beirim	beir
beoghearraim	beoghearr
bioraím	bioraigh
bisím	bisigh
blaisim	blais
blaistím	blaistigh
bocálaim	bocáil
bodhraím	bodhraigh
bogaigéadaím	bogaigéadaigh
bogaim	bog
bolgaim	bolg
boltálaim	boltáil
bordálaim	bordáil
braichim	braich
braithim	braith
brandálaim	brandáil
breabaim	breab
breacaim	breac
breathnaím	breathnaigh
brisim	bris
broicéadaím	broicéadaigh
bronnaim	bronn
brostaím	brostaigh
bruithim	bruith
bruithním	bruithnigh
bréadaím	bréadaigh
bréagaim	bréag
bréagnaím	bréagnaigh
bróidním	bróidnigh
brúchtaim	brúcht
brúidím	brúidigh
brúim	brúigh
buailim	buail
buaim	buaigh
buairim	buair
buamálaim	buamáil
buanaím	buanaigh
buidéalaím	buidéalaigh
bunaím	bunaigh
burlálaim	burláil
bácálaim	bácáil
báim	báigh
bánaím	bánaigh
béicim	béic
búclálaim	búcláil
cabálaim	cabáil
caighdeánaím	caighdeánaigh
cailcím	cailcigh
cailcíním	cailcínigh
caillim	caill
caintím	caintigh
caipitlím	caipitligh
cairtfhostaím	cairtfhostaigh
caithim	caith
caiticeasmaím	caiticeasmaigh
calabraím	calabraigh
calcaim	calc
camaim	cam
canaim	can
caochaim	caoch
caoinim	caoin
caolaím	caolaigh
caomhnaím	caomhnaigh
caradaím	caradaigh
carbraím	carbraigh
carbólaím	carbólaigh
carbónaím	carbónaigh
cardálaim	cardáil
carnaim	carn
cartaim	cart
casaim	cas
casmhúnlaím	casmhúnlaigh
ceadaím	ceadaigh
ceadúnaím	ceadúnaigh
cealaím	cealaigh
cealgaim	cealg
ceanglaím	ceangail
ceannaím	ceannaigh
ceansaím	ceansaigh
ceantálaim	ceantáil
ceapaim	ceap
cearnaím	cearnaigh
ceartaím	ceartaigh
ceilim	ceil
ceiliúraim	ceiliúir
ceistím	ceistigh
ciallaím	ciallaigh
ciapaim	ciap
ciglím	cigil
cinnirim	cinnir
ciontaím	ciontaigh
ciorclaím	ciorclaigh
ciorraím	ciorraigh
cisim	cis
ciúbaím	ciúbaigh
ciúnaím	ciúnaigh
clampaím	clampaigh
claochlaím	claochlaigh
claonaim	claon
cleachtaim	cleacht
cleitím	cleitigh
clingim	cling
clisim	clis
cláraím	cláraigh
clóim	clóigh
clóiríním	clóirínigh
clóscríobhaim	clóscríobh
clúdaím	clúdaigh
cnagaim	cnag
cnagbhruithim	cnagbhruith
cneadaim	cnead
cneasaím	cneasaigh
cniotálaim	cniotáil
cnuasaím	cnuasaigh
cobhsaím	cobhsaigh
cocaim	coc
codlaím	codail
cognaím	cogain
coigeartaím	coigeartaigh
coiglím	coigil
coillim	coill
coilíním	coilínigh
coimeádaim	coimeád
coinbhéartaím	coinbhéartaigh
coinbhéirsím	coinbhéirsigh
coincheapaim	coincheap
coincréitím	coincréitigh
coinnealbháim	coinnealbháigh
coinním	coinnigh
coinscríobhaim	coinscríobh
coirbéalaim	coirbéal
coirním	coirnigh
coiscim	coisc
coisricim	coisric
comhairlím	comhairligh
comhaontaím	comhaontaigh
comhardaím	comhardaigh
comhbheartaím	comhbheartaigh
comhcheanglaím	comhcheangail
comhchruinním	comhchruinnigh
comhdhearbhaím	comhdhearbhaigh
comhdhlúthaím	comhdhlúthaigh
comhfhadaím	comhfhadaigh
comhfhreagraím	comhfhreagair
comhfháiscim	comhfháisc
comhlíonaim	comhlíon
comhoibrím	comhoibrigh
comhrialaím	comhrialaigh
comhréitím	comhréitigh
comhshamhlaím	comhshamhlaigh
comhshíním	comhshínigh
comhshóim	comhshóigh
comhthoghaim	comhthogh
comhtháthaím	comhtháthaigh
comhéigním	comhéignigh
conclúidím	conclúidigh
conspóidim	conspóid
cornaim	corn
corpraím	corpraigh
corraím	corraigh
corónaím	corónaigh
coscraím	coscair
cosnaím	cosain
costálaim	costáil
cothaím	cothaigh
cothromaím	cothromaigh
crampálaim	crampáil
craobhaím	craobhaigh
craolaim	craol
crapaim	crap
craplaím	craplaigh
creachaim	creach
creathnaím	creathnaigh
creidim	creid
creimim	creim
criathraím	criathraigh
crioslaím	crioslaigh
criostalaím	criostalaigh
crithim	crith
crochaim	croch
croithim	croith
cromaim	crom
crosaim	cros
croscheistím	croscheistigh
crosphóraím	crosphóraigh
cruanaim	cruan
cruashádrálaim	cruashádráil
cruinním	cruinnigh
cruthaím	cruthaigh
cráim	cráigh
cré-umhaím	cré-umhaigh
créamaim	créam
críochnaím	críochnaigh
cróiseálaim	cróiseáil
crónaím	crónaigh
cuaillím	cuailligh
cuaraim	cuar
cuardaím	cuardaigh
cuibhrím	cuibhrigh
cuileálaim	cuileáil
cuilteálaim	cuilteáil
cuimhním	cuimhnigh
cuimlím	cuimil
cuirim	cuir
cuislím	cuisligh
cuisním	cuisnigh
cumaim	cum
cumhachtaím	cumhachtaigh
cumhdaím	cumhdaigh
cumhraím	cumhraigh
cuíchóirím	cuíchóirigh
cáblaím	cáblaigh
cáinim	cáin
cáithim	cáith
cásaím	cásaigh
céadfaím	céadfaigh
céasaim	céas
céaslaím	céaslaigh
céimním	céimnigh
cíoraim	cíor
cócarálaim	cócaráil
cóimeálaim	cóimeáil
cóimheasaim	cóimheas
cóipeálaim	cóipeáil
cóirím	cóirigh
cónaím	cónaigh
cúbaim	cúb
cúblálaim	cúbláil
cúigleálaim	cúigleáil
cúisím	cúisigh
cúitím	cúitigh
cúlaím	cúlaigh
cúlchlóim	cúlchlóigh
cúlghairim	cúlghair
cúlghearraim	cúlghearr
cúlsleamhnaím	cúlsleamhnaigh
cúlálaim	cúláil
cúléistim	cúléist
cúplálaim	cúpláil
daingním	daingnigh
dallaim	dall
damascaím	damascaigh
daoraim	daor
dathaím	dathaigh
deachaím	deachaigh
deachtaím	deachtaigh
deachúlaím	deachúlaigh
dealaím	dealaigh
dealbhaím	dealbhaigh
dearaim	dear
dearbhaím	dearbhaigh
dearcaim	dearc
deargaim	dearg
dearlacaim	dearlaic
dearmadaim	dearmad
deasaím	deasaigh
deifrím	deifrigh
deilbhím	deilbhigh
deimhním	deimhnigh
deirim	abair
deisím	deisigh
deonaím	deonaigh
diagaím	diagaigh
diailím	diailigh
dianscaoilim	dianscaoil
diansirim	diansir
difreálaim	difreáil
difrím	difrigh
dingim	ding
diogálaim	diogáil
diomlaím	diomail
dioscaim	diosc
diúgaim	diúg
diúltaím	diúltaigh
dlisteanaím	dlisteanaigh
doimhním	doimhnigh
doirtim	doirt
donnaím	donnaigh
dorchaím	dorchaigh
dornálaim	dornáil
drannaim	drann
draoibeálaim	draoibeáil
dreachaim	dreach
dreapaim	dreap
driogaim	driog
droimscríobhaim	droimscríobh
druidim	druid
druileálaim	druileáil
duaithním	duaithnigh
dubhaím	dubhaigh
dáilim	dáil
déaduchtaím	déaduchtaigh
déanaim	déan
déroinnim	déroinn
